Country,Region,Tool,Year,MEF,Level,Domain,Technical_area,Indicator,Target,Actual_score
Ethiopia,National,JEE,2023,JEE 2023_Ethiopia,National,Prevent,P1. Legal instruments,P.1.1 Legal instruments,5,3
Ethiopia,National,JEE,2023,JEE 2023_Ethiopia,National,Prevent,P1. Legal instruments,P.1.2 Gender equity and equality in health emergencies,5,3
Ethiopia,National,JEE,2023,JEE 2023_Ethiopia,National,Prevent,P2. Financing,P.2.1 Financing for IHR implementation,5,2
Ethiopia,National,JEE,2023,JEE 2023_Ethiopia,National,Prevent,P2. Financing,P.2.2 Financing for public health emergency response,5,2
Ethiopia,National,JEE,2023,JEE 2023_Ethiopia,National,Prevent,"P3. IHR coordination, National IHR Focal Point functions and advocacy",P.3.1 National IHR Focal Point functions,5,3
Ethiopia,National,JEE,2023,JEE 2023_Ethiopia,National,Prevent,"P3. IHR coordination, National IHR Focal Point functions and advocacy",P.3.2 Multisectoral coordination mechanisms,5,3
Ethiopia,National,JEE,2023,JEE 2023_Ethiopia,National,Prevent,"P3. IHR coordination, National IHR Focal Point functions and advocacy","P.3.3 Strategic planning for IHR, preparedness or health security",5,4
Ethiopia,National,JEE,2023,JEE 2023_Ethiopia,National,Prevent,P4. Antimicrobial resistance (AMR),P.4.1 Multisectoral coordination on AMR,5,4
Ethiopia,National,JEE,2023,JEE 2023_Ethiopia,National,Prevent,P4. Antimicrobial resistance (AMR),P.4.2 Surveillance of AMR,5,3
Ethiopia,National,JEE,2023,JEE 2023_Ethiopia,National,Prevent,P4. Antimicrobial resistance (AMR),P.4.3 Prevention of MDRO,5,1
Ethiopia,National,JEE,2023,JEE 2023_Ethiopia,National,Prevent,P4. Antimicrobial resistance (AMR),P.4.4 Optimal use of antimicrobial medicines in human health,5,4
Ethiopia,National,JEE,2023,JEE 2023_Ethiopia,National,Prevent,P4. Antimicrobial resistance (AMR),P.4.5 Optimal use of antimicrobial medicines in animal health and agriculture,5,3
Ethiopia,National,JEE,2023,JEE 2023_Ethiopia,National,Prevent,P5. Zoonotic disease,P.5.1 Surveillance of zoonotic diseases,5,3
Ethiopia,National,JEE,2023,JEE 2023_Ethiopia,National,Prevent,P5. Zoonotic disease,P.5.2 Response to zoonotic diseases,5,3
Ethiopia,National,JEE,2023,JEE 2023_Ethiopia,National,Prevent,P5. Zoonotic disease,P.5.3 Sanitary animal production practices,5,2
Ethiopia,National,JEE,2023,JEE 2023_Ethiopia,National,Prevent,P6. Food safety,P.6.1 Surveillance of foodborne diseases and contamination,5,3
Ethiopia,National,JEE,2023,JEE 2023_Ethiopia,National,Prevent,P6. Food safety,P.6.2 Response and management of food safety emergencies,5,4
Ethiopia,National,JEE,2023,JEE 2023_Ethiopia,National,Prevent,P7. Biosafety and biosecurity,"P.7.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities",5,3
